audio	start	end	text
chunk_0.wav	69.0	91.01	Danske officeraspiranter udsættes i løbet af deres uddannelse for så hårde afhøringsmetoder, at de kan have svært ved at finde ud af om de må bruge de samme metoder under virkelige fangerafhøringer, skriver Berlingske Tidende. Jeg er bange for, at tingene flyder sammen, så aspiranterne ikke kan skille træning og virkelig fra hinanden
chunk_1.wav	91.01	96.03	i en stresset situation, siger pensioneret generalløjtnant KGH Hillingsø¸.
chunk_2.wav	97.0	103.08	Major Carsten Hasenfuss, der underviser i afhøringsteknik, siger, at aspiranterne godt kan skelne mellem,
chunk_3.wav	103.08	105.09	hvad de må udføre på andre under afhøring,
chunk_4.wav	106.03	110.05	og hvad de selv risikerer at blive udsat for i virkelighedens verden.
chunk_5.wav	111.06	117.08	Det britiske militærpoliti undersøger yderligere 48 mistænkelige dødsfald i Irak.
chunk_6.wav	118.02	126.02	Dermed undersøger myndighederne nu i alt 94 sager om mistænkelige dødsfald blandt irakiske fanger i britisk varetægt.
chunk_7.wav	127.0	131.04	Der er mistanke om, at fanger er blevet skudt, tortureret eller tævet ihjel,
chunk_8.wav	131.09	136.02	samt anden ulovlig behandling, mens de har været holdt fanget af britiske militærstyrker,
chunk_9.wav	136.01	138.06	skriver avisen Independent i dag.
chunk_10.wav	139.0	142.01	Embedsmænd siger til flere aviser, at det er forventeligt,
chunk_11.wav	142.01	147.01	at tallet af mishandlede fanger i britisk varetægt i Irak stiger yderligere.
chunk_12.wav	149.07	155.01	Og den britiske avis Sunday Times skriver, at den har fundet dokumenter i en lejlighed i London.
chunk_13.wav	156.02	161.04	Dokumenterne viser, at beboerne er blevet trænet af en ekstremistisk palæstinensisk gruppe.
chunk_14.wav	162.0	165.07	Dokumenterne skulle være fundet i to mapper, som politiet havde efterladt,
chunk_15.wav	165.08	171.05	efter at have gennemført en undersøgelse af lejligheden i Willesden Green i det nordvestlige London
chunk_16.wav	171.05	178.08	under en massiv anti-terrorist indsats sidste tirsdag. Papirene inkluderer en kopi af et brev til
chunk_17.wav	178.08	187.05	Indenrigsministeriet fra en afvist asylsøger, der hævder at være blevet trænet som selvmordsbombemand af den radikale palæstinensiske Hamas-gruppe.
chunk_18.wav	188.06	194.0	Selv om EU årligt giver mejerierne 20 mio. kr. i tilskud til skolemælk,
chunk_19.wav	194.01	200.01	er mælken til skoleeleverne langt dyrere end stort set al anden form for mælk, skriver Politiken søndag.
chunk_20.wav	200.01	205.08	De høje priser får skoleledere til at kritisere skolemælksordningen. Den
chunk_21.wav	205.08	207.09	administreres af Mejeriforeningen,
chunk_22.wav	208.04	209.1	som er totalt domineret
chunk_23.wav	209.1	211.04	af Arla-repræsentanter.
chunk_24.wav	212.0	214.0	Sammenlignet med en liter mælk
chunk_25.wav	214.0	216.02	i et supermarked koster skolemælken
chunk_26.wav	216.02	217.0	cirka det dobbelte.
chunk_27.wav	217.08	219.09	Men vi sørger for at få mælken ud til skolerne.
chunk_28.wav	220.03	222.0	Det kan man ikke holde op mod,
chunk_29.wav	222.01	224.01	hvad en hel liter mælk koster
chunk_30.wav	224.01	229.02	i et supermarked, siger Winnie Pauli, der er afdelingsleder i Mejeriforeningen.
chunk_31.wav	230.05	237.0	Og en vejrudsigt for søndagen. Vi får en varm, tør og solrig dag. Temperaturer op til 28 grader.
chunk_32.wav	237.08	241.04	I Vestjylland stedvis 30 grader. Svag til frisk østlig vind.
